Entry,Source,Common name,Ecotype
301,PI651496,RIO,Sweet Sorghum
302,PI651491,BAILEY,Sweet Sorghum
303,PI651495,DALE,Sweet Sorghum
304,PI653616,WRAY,Sweet Sorghum
305,PI653411,M 81E,Sweet Sorghum
306,PI586537,ATLAS,Sweet Sorghum
307,PI535785,N100,Sweet Sorghum
308,PI583832,TOP_76_6,Sweet Sorghum
309,PI641824,KS_ORANGE,Sweet Sorghum
310,PI641825,LEOTI,Sweet Sorghum
311,PI566819,DELLA,Sweet Sorghum
312,PI571107,COLMAN,Sweet Sorghum
313,PI505722,ZM/A 5298,Biomass Sorghum
314,PI505735,ZM/A 5345,Biomass Sorghum
315,PI562730,Grain Grass 3A,Biomass Sorghum
316,PI297171,IS13647,Biomass Sorghum
317,PI506122,Epo,Biomass Sorghum
318,PI297130,IS13613,Biomass Sorghum
319,PI154844,GRASSL,Biomass Sorghum
320,PI508366,MA 38,Biomass Sorghum
321,PI506114,Kwete-Mila,Biomass Sorghum
322,PI506030,Tchinlouol,Biomass Sorghum
323,PI506069,Mbonou,Biomass Sorghum
324,PI267573,IS 2983,Biomass Sorghum
325,PI564163,BTx623,Grain Sorghum
326,PI656056,P850029,Grain Sorghum
327,PI533964,"Safara, Kordafan",Grain Sorghum
328,PI533759,Mugbash 56/56,Grain Sorghum
329,PI35038,SUMAC,Grain Sorghum
330,PI561472,SURENO,Grain Sorghum
401,Richardson Seeds,700D BMR,Forage Sorghum
